申請者－法人種別,申請者－名称,申請者－郵便番号,申請者－住所,,申請者－電話番号,事業所－名称,事業所－郵便番号,事業所－地域,事業所－住所,事業所－電話番号,ｻｰﾋﾞｽ種類,事業所番号,指定年月日
社会福祉法人（社協以外）,社会福祉法人清陽会,1830012,東京都府中市,押立町１－１７－１３,042-365-3715,アメニティ府中,1830012,東京都府中市,押立町１－１７－１４,042-368-3715,共同生活援助,1322900075,2006/10/1
社会福祉法人（社協以外）,社会福祉法人白梅会,1830045,東京都府中市,美好町１－３０－３　シャロンベテル１階,042-367-5080,グループホームみち,1830026,東京都府中市,＊,042-363-8696,共同生活援助,1322900117,2006/10/1
社会福祉法人（社協以外）,社会福祉法人きょうされん,1960021,東京都昭島市,武蔵野３－２－１９,042-542-5800,グループホームフラワー,1960022,東京都昭島市,中神町１３１３－１,042-519-7883,共同生活援助,1323000032,2006/10/1
社会福祉法人（社協以外）,社会福祉法人滝乃川学園,1860015,東京都国立市,矢川３－１６－１,042-577-0035,ベアーの家,1960022,東京都昭島市,中神町１２９６－９２,042-545-4730,共同生活援助,1323000040,2006/10/1
社会福祉法人（社協以外）,社会福祉法人調布市社会福祉事業団,1820032,東京都調布市,西町２９０－４,0424-81-7493,グループホームふれんず,1820026,東京都調布市,小島町２－３１－１,042-444-3422,共同生活援助,1323100063,2006/10/1
地方公共団体（市町村）,調布市,1828511,東京都調布市,小島町２－３５－１,042-481-7089,調布市知的障害者グループホームすてっぷ,1820022,東京都調布市,国領町８－１－５７,042-480-9322,共同生活援助,1323100089,2006/10/1
社会福祉法人（社協以外）,社会福祉法人くすのき会,1820034,東京都調布市,下石原１－４２－１１,042-481-1157,くすのきりん,1820026,東京都調布市,＊,042-441-6325,共同生活援助,1323100097,2006/10/1
社会福祉法人（社協以外）,社会福祉法人調布市社会福祉事業団,1820032,東京都調布市,西町２９０－４,042-481-7493,グループホームじゃんぷ,1820021,東京都調布市,調布ケ丘２－３７－６　２階（グループホーム調布ケ丘じゃんぷ）,042-498-1129,共同生活援助,1323100162,2006/10/1
営利法人,有限会社あすなろケミカル,1940038,東京都町田市,根岸２－９－８,042-791-2632,グループホームあすなろ,1940038,東京都町田市,根岸２－９－８,042-791-2632,共同生活援助,1323200103,2006/10/1
社会福祉法人（社協以外）,社会福祉法人まちのひ,1940021,東京都町田市,中町２－２１－８,042-794-6155,さるびあ・のぞみ,1940035,東京都町田市,＊,042-791-7955,共同生活援助,1323200160,2006/10/1
社会福祉法人（社協）,社会福祉法人町田市社会福祉協議会,1940013,東京都町田市,原町田４－９－８,042-722-4898,カブス,1940022,東京都町田市,森野２－２－４６－１０７・１０９,042-726-7633,共同生活援助,1323200194,2006/10/1
社会福祉法人（社協以外）,社会福祉法人つるかわ学園,1950051,東京都町田市,真光寺町１８６,042-735-2220,成瀬寮,1940045,東京都町田市,南成瀬１－４－８　センチュリーハイツ６　３０４,042-720-0916,共同生活援助,1323200244,2006/10/1
社会福祉法人（社協以外）,社会福祉法人クラブハウス町田,1940022,東京都町田市,森野３－１９－１３,042-721-0402,エスポワール町田,1940036,東京都町田市,＊,042-791-8561,共同生活援助,1323200251,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人らく福祉会,1840004,東京都小金井市,本町１－６－１１　エクセレンス小金井１階,042-388-7887,グループホームこがねい,1840013,東京都小金井市,＊,042-387-8468,共同生活援助,1323300028,2006/10/1
社会福祉法人（社協以外）,社会福祉法人雲柱社,1560057,東京都世田谷区,上北沢３－８－１９,03-3302-2884,社会福祉法人雲柱社かがわの家,1840015,東京都小金井市,貫井北町５－７－１４,042-325-2582,共同生活援助,1323300036,2006/10/1
社会福祉法人（社協以外）,社会福祉法人聖ヨハネ会,1848511,東京都小金井市,桜町１－３－２２,0423-84-4403,小金井聖ヨハネケアービレッジ,1840004,東京都小金井市,本町５－２８－１３,042-384-2323,共同生活援助,1323300051,2006/10/1
社会福祉法人（社協以外）,社会福祉法人なごみ福祉会,1870041,東京都小平市,美園町１－４－１,042-345-2118,グループホーム和,1870042,東京都小平市,＊,042-346-5601,共同生活援助,1323400026,2006/10/1
社会福祉法人（社協以外）,社会福祉法人黎明会,1870032,東京都小平市,小川町１－４８５,042-346-6611,グループホーム澄水,1870032,東京都小平市,小川町１－４９７－８,042-341-5656,共同生活援助,1323400042,2006/10/1
社会福祉法人（社協以外）,社会福祉法人ときわ会,1870032,東京都小平市,小川町２－１１５９,042-345-4575,共同ホームつくしんぼ,1870032,東京都小平市,小川町１－９４４－３０,042-342-7550,共同生活援助,1323400059,2006/10/1
社会福祉法人（社協以外）,社会福祉法人未来,1870001,東京都小平市,大沼町２－１－３,042-316-9077,みらいホーム,1870001,東京都小平市,大沼町７－５－３３,042-309-9077,共同生活援助,1323400067,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人たま三宝会,1830035,東京都府中市,四谷三丁目５２番地の３１,042-512-9971,ここに泉あり,1910012,東京都日野市,大字日野１０３４－３,042-583-5122,共同生活援助,1323500023,2006/10/1
社会福祉法人（社協以外）,社会福祉法人日野市民たんぽぽの会,1910011,東京都日野市,高幡８６４－１５,042-587-4868,ヴィレッヂたんぽぽ,1910011,東京都日野市,日野本町２－５－３３,042-587-4868,共同生活援助,1323500031,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人やまぼうし,1910062,東京都日野市,多摩平２－１２－２,042-581-7946,やまぼうしホーム,1910041,東京都日野市,南平４－１１－１８,042-581-7946,共同生活援助,1323500122,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人障害者の自立を支える会こすもす,1890014,東京都東村山市,本町３－１９－５７　エクセレンス澤崎Ｂ棟２０２,042-394-4805,ピーナッツ,1890023,東京都東村山市,美住町１－３　美住町１丁目第２アパート４号棟３０１・４０１,042-395-4422,共同生活援助,1323600054,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人東村山手をつなぐ親の会,1890003,東京都東村山市,久米川町３－１２－７,042-395-2068,佐藤寮,1890021,東京都東村山市,諏訪町１－１４－３３,042-397-6700,共同生活援助,1323600088,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人みのり会,1890011,東京都東村山市,恩多町３－４３－６　みのり荘１,042-396-2512,グループホームみのり荘,1890011,東京都東村山市,＊,042-396-2512,共同生活援助,1323600096,2006/10/1
社会福祉法人（社協以外）,社会福祉法人恩賜財団東京都同胞援護会,1620053,東京都新宿区,原町３－８,03-3341-7161,アミニティ富士見,1890013,東京都東村山市,栄町２－３９－１８,042-308-6926,共同生活援助,1323600153,2006/10/1
社会福祉法人（社協以外）,社会福祉法人東村山けやき会,1890002,東京都東村山市,青葉町３－３０－７,042-397-5966,グループホームはぎやまはうす,1890012,東京都東村山市,＊,042-396-8868,共同生活援助,1323600161,2006/10/1
社会福祉法人（社協以外）,社会福祉法人東村山けやき会,1890002,東京都東村山市,青葉町３－３０－７,042-397-5966,グループホームむさしのはうす,1890013,東京都東村山市,＊,042-392-7858,共同生活援助,1323600187,2006/10/1
社会福祉法人（社協以外）,社会福祉法人滝乃川学園,1860015,東京都国立市,矢川３－１６－１,042-577-0035,春口寮,1850012,東京都国分寺市,本町３－１７－１３　松居荘,042-321-1070,共同生活援助,1323700060,2006/10/1
社会福祉法人（社協以外）,社会福祉法人はらからの家福祉会,1850021,東京都国分寺市,南町３－４－４,042-323-5637,ピア国分寺,1850021,東京都国分寺市,＊,042-323-5637,共同生活援助,1323700151,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人南風,1830025,東京都府中市,矢崎町４－１５－４３,042-334-5058,チロリン村,1830025,東京都府中市,矢崎町４－１５－４３,042-334-5058,共同生活援助,1323800035,2006/10/1
社会福祉法人（社協以外）,社会福祉法人滝乃川学園,1860015,東京都国立市,矢川３－１６－１,042-577-0035,にんげんの輪,1860011,東京都国立市,谷保３８９２－１３,042-576-8601,共同生活援助,1323800068,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人多摩在宅支援センター円,1860003,東京都国立市,富士見台１－２５－２１　櫻の杜ハウス２０５,042-505-5880,グループホーム櫻の杜ハウス,1860003,東京都国立市,＊,042-573-2840,共同生活援助,1323800100,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人地域福祉マリーナ,1880002,東京都西東京市,緑町２－１－４,042-453-2300,グループホーム　マリーナ,1880002,東京都西東京市,緑町２－１－４,042-453-2300,共同生活援助,1323900033,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人自立生活企画,1880011,東京都西東京市,田無町５－６－２０　第２和光ビル２０２,042-462-5999,自立生活企画生活寮,1880011,東京都西東京市,田無町５－６－２０　第二和光ビル３０３・３０４・４０１・４０２・４０３,042-462-5999,共同生活援助,1323900041,2006/10/1
社会福祉法人（社協以外）,社会福祉法人さくらの園,1880004,東京都西東京市,西原町３－２－１２　サンクレスト西原３０２,042-452-3739,田無寮,1880013,東京都西東京市,南町１－１５－２,042-464-0244,共同生活援助,1323900058,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人ハンディキャップサポートウーノの会,2020005,東京都西東京市,住吉町３－１２－１９,042-424-7775,アットホームウーノ,2020006,東京都西東京市,栄町１－１０－５,042-424-0354,共同生活援助,1323900066,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人燦燦会,1880002,東京都西東京市,緑町１－８－３,042-452-7401,グループホームサンワーク,1880002,東京都西東京市,＊,042-452-7401,共同生活援助,1323900090,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人青少年自立援助センター,1970011,東京都福生市,福生字武蔵野２３５１－１,042-553-2575,グループホームきんもくせい,1970011,東京都福生市,福生字武蔵野２３５１－１,042-553-2575,共同生活援助,1324100021,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人三宝会,1900181,東京都西多摩郡日の出町,大字大久野２７８６,042-539-4181,元気,1970011,東京都福生市,福生２１６９－２　ウィステリア福生,042-539-4181,共同生活援助,1324100039,2006/10/1
社会福祉法人（社協以外）,社会福祉法人あすはの会,1970003,東京都福生市,熊川１６００－２,042-530-6961,あらたま寮,1970003,東京都福生市,熊川１６００－２,042-530-6939,共同生活援助,1324100047,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人グループホームけやき,1970011,東京都福生市,福生９７１－２,042-553-2645,特定非営利活動法人グループホームけやき,1970011,東京都福生市,＊,042-553-2645,共同生活援助,1324100054,2006/10/1
社会福祉法人（社協以外）,社会福祉法人光友会,2010005,東京都狛江市,岩戸南３－１１－９,03-3489-6452,グループホームれもん,2010012,東京都狛江市,中和泉２－２０－３,03-5497-2468,共同生活援助,1324200029,2006/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人ＮＰＯ狛江さつき会,2010014,東京都狛江市,東和泉４－１－１９－２０４,03-3430-5221,グループホーム朋,2010005,東京都狛江市,＊,03-3480-0955,共同生活援助,1324200037,2006/10/1
社会福祉法人（社協以外）,社会福祉法人えいぶる,2070015,東京都東大和市,中央２－８３０－４,042-567-1028,あんじゅ,2070015,東京都東大和市,中央４－９５７－３,042-567-5605,共同生活援助,1324300035,2006/10/1
社会福祉法人（社協以外）,社会福祉法人滝乃川学園,1860015,東京都国立市,矢川３－１６－１,042-577-0035,高橋寮,2070013,東京都東大和市,向原５－１１２９－７３,042-561-4941,共同生活援助,1324300050,2006/10/1
