No.,申請者名称,事業所番号,枝番／ 連番,事業所名称,事業所郵便番号,事業所所在地,事業所電話番号,事業所FAX番号,共同生活住居名称,共同生活住居〒,共同生活住居所在地,主たる対象者(身体障害者),主たる対象者(知的障害者),主たる対象者(精神障害者),主たる対象者(難病等対象者),異動年月日,異動区分,施設等の区分,利用定員数
624,株式会社Tan-Tan,1123900431,1,たんたんハウス,3480053,埼玉県羽生市南2-1-56,09025546382,,たんたんハウス,3480053,埼玉県羽生市南2-1-56,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,4
662,こだま福祉株式会社,1124300284,1,グループホーム若泉,3670055,埼玉県本庄市若泉二丁目２番４３号,0495-21-2856,0495-22-3487,グループホーム若泉,3670055,埼玉県本庄市若泉二丁目２番４３号,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,4
663,こだま福祉株式会社,1124300284,2,グループホーム若泉,3670055,埼玉県本庄市若泉二丁目２番４３号,0495-21-2856,0495-22-3487,グループホーム若泉B,3670055,埼玉県本庄市若泉二丁目２番４３号,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,5
667,HINAYA株式会社,1124300342,1,グループホーム陽葵,3670021,埼玉県本庄市東台２－１－１７イーストヒルＳＹ,08072180178,048-579-5971,グループホーム陽葵,3670021,埼玉県本庄市東台２－１－１７イーストヒルSY　１０１、１０２、１０３、２０１,×,○,○,×,2021/10/1,変更,1:介護サービス包括型,5
799,社会福祉法人みぬま福祉会,1125700011,6,ケアホーム　サンライズ,3490115,埼玉県蓮田市蓮田五丁目１３５番地グランハイム誠Ｃ－１０１,048-769-8800,048-769-8800,サンフラワー,3490217,埼玉県白岡市小久喜８４３－２,×,○,×,×,2021/10/1,変更,1:介護サービス包括型,7
800,社会福祉法人みぬま福祉会,1125700011,7,ケアホーム　サンライズ,3490115,埼玉県蓮田市蓮田五丁目１３５番地グランハイム誠Ｃ－１０１,048-769-8800,048-769-8800,第二サンフラワー,3490217,埼玉県白岡市小久喜８４３－９,×,○,×,×,2021/10/1,変更,1:介護サービス包括型,7
836,特定非営利活動法人パン工房カウベル,1126200136,2,カウベルの家,3502222,埼玉県鶴ヶ島市下新田一本松１２９番地７,049-271-9211,049-299-6727,第２カウベルの家,3502213,埼玉県鶴ヶ島市脚折１９２２－４,×,○,×,×,2021/10/1,変更,1:介護サービス包括型,7
51,株式会社STORIES,1120601461,3,ＳＴＯＲＩＥＳ春日部,3440007,埼玉県春日部市小渕６９４－１１,05053625947,03-6332-9348,ＳＴＯＲＩＥＳ牛島,3440004,埼玉県春日部市牛島１７２－１,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,5
75,防災育成センター合同会社,1120601586,1,ライフディフェンス希望,3440032,埼玉県春日部市備後東７丁目１９番地２６,07038185271,,ライフディフェンス希望,3440032,埼玉県春日部市備後東７丁目１９番地２６,×,○,○,×,2021/9/1,新規,1:介護サービス包括型,4
105,特定非営利活動法人チャレンジ,1120900822,1,グループホームチャレンジ,3400202,埼玉県久喜市東大輪４６４番地５,0480-47-0232,0480-47-0233,なないろ,3400202,埼玉県久喜市東大輪４６４番地５,×,○,×,×,2021/9/1,新規,1:介護サービス包括型,7
185,株式会社ハーベストプラン,1121600991,1,Beesグループホーム,3620073,埼玉県上尾市浅間台１丁目２１番地２１,048-662-9182,048-662-9094,Beesグループホーム上尾浅間台,3620073,埼玉県上尾市浅間台１丁目２１番地２１,×,○,○,×,2021/9/1,新規,1:介護サービス包括型,4
230,株式会社ホープスター,1121800963,3,グループホームポラリス草加,3400023,埼玉県草加市谷塚町１４２０－１６,048-954-5028,048-954-5028,グループホームポラリス草加１号館,3400023,埼玉県草加市谷塚町１４２０－１６,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,5
231,スタップケア株式会社,1121800971,1,あ・いーな草加,3400046,埼玉県草加市北谷３丁目１１－１０,048-943-2470,03-5727-8638,あ・いーな草加Ⅰ,3400046,埼玉県草加市北谷３丁目１１－１０１０２、１０３、１０４、２０１、２０２、２０３,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,6
232,スタップケア株式会社,1121800971,2,あ・いーな草加,3400046,埼玉県草加市北谷３丁目１１－１０,048-943-2470,03-5727-8638,あ・いーなエクレンス,3400046,埼玉県草加市北谷３丁目１１－１０２０１、２０２、２０３、２０４,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,3
233,スタップケア株式会社,1121800971,3,あ・いーな草加,3400046,埼玉県草加市北谷３丁目１１－１０,048-943-2470,03-5727-8638,あ・いーなピュアステイジ,3400046,埼玉県草加市北谷３丁目１１－９１０４、２０２、２０３,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,2
234,スタップケア株式会社,1121800971,4,あ・いーな草加,3400046,埼玉県草加市北谷３丁目１１－１０,048-943-2470,03-5727-8638,あ・いーなヘルツハイム,3400046,埼玉県草加市北谷１丁目２３－１２,×,○,○,×,2021/9/1,新規,1:介護サービス包括型,3
286,社会福祉法人埼玉医療福祉会,1122466764,1,グループホームいこい,3500465,埼玉県入間郡毛呂山町岩井西３－１８－２６,049-295-1771,049-295-1771,グループホームいこい,3500465,埼玉県入間郡毛呂山町岩井西３－１８－２６,×,×,○,×,2021/9/1,変更,2:外部サービス利用型,5
287,社会福祉法人埼玉医療福祉会,1122466764,2,グループホームいこい,3500465,埼玉県入間郡毛呂山町岩井西３－１８－２６,049-295-1771,049-295-1771,グループホームいこいⅡ,3500465,埼玉県入間郡毛呂山町岩井西３－１８－２６,×,×,○,×,2021/9/1,変更,2:外部サービス利用型,5
288,社会福祉法人埼玉医療福祉会,1122466764,3,グループホームいこい,3500465,埼玉県入間郡毛呂山町岩井西３－１８－２６,049-295-1771,049-295-1771,グループホームいこいⅢ,3500446,埼玉県入間郡毛呂山町小田谷４７－３,×,×,○,×,2021/9/1,変更,2:外部サービス利用型,7
342,株式会社トーマス,1122501644,1,ＴＭホームほほえみ,3590041,埼玉県所沢市中新井１－８７４－４,04-2001-9557,04-2001-9557,ＴＭホームほほえみ,3590041,埼玉県所沢市中新井１－８７４－４,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,4
343,株式会社トーマス,1122501644,2,ＴＭホームほほえみ,3590041,埼玉県所沢市中新井１－８７４－４,04-2001-9557,04-2001-9557,ＴＭホームほほえみ（えくぼ）,3591144,埼玉県所沢市西所沢２－８－５,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,4
344,株式会社トーマス,1122501644,3,ＴＭホームほほえみ,3590041,埼玉県所沢市中新井１－８７４－４,04-2001-9557,04-2001-9557,ＴＭホームほほえみ（かがやき）,3590041,埼玉県所沢市中新井２－７１４　Ｃ棟,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,4
345,株式会社トーマス,1122501644,4,ＴＭホームほほえみ,3590041,埼玉県所沢市中新井１－８７４－４,04-2001-9557,04-2001-9557,ＴＭホームほほえみ（はるか）,3501144,埼玉県川越市稲荷町１８－３７,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,4
375,合同会社ウィステリア,1122700410,1,グループホームひなた,3501328,埼玉県狭山市広瀬台１丁目２４－１４,04-2900-3090,04-2900-3090,グループホームひなた,3501328,埼玉県狭山市広瀬台１丁目２４－１４,×,○,○,×,2021/9/1,新規,1:介護サービス包括型,4
402,株式会社和代,1122800632,3,ひこぼしホーム,3580026,埼玉県入間市小谷田一丁目１６番９号,04-2937-6173,04-2937-6409,ひこぼしホーム３,3580026,埼玉県入間市小谷田１５１８－４２８,×,○,○,×,2021/9/1,新規,1:介護サービス包括型,4
403,株式会社ファミリエ,1122800640,1,といろ,3580014,埼玉県入間市宮寺４１４３－１８,09065189707,,といろ宮寺,3580014,埼玉県入間市宮寺４１４３－１８,×,○,○,×,2021/9/1,新規,1:介護サービス包括型,4
460,埼玉福興株式会社,1123101238,1,ホームクラリス妻沼台,3600241,埼玉県熊谷市妻沼台西早道９１３番地,048-598-5821,048-598-5821,ホームクラリス妻沼台,3600241,埼玉県熊谷市妻沼台西早道９１３番地,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,10
506,社会福祉法人いずみ会,1123286427,1,グループホームフォレスト,3550221,埼玉県比企郡嵐山町大字菅谷１０８１番地,0493-53-4545,0493-53-4437,アザレア,3550221,埼玉県比企郡嵐山町大字菅谷１０８１番地,×,○,×,×,2021/9/1,変更,1:介護サービス包括型,5
507,社会福祉法人いずみ会,1123286427,2,グループホームフォレスト,3550221,埼玉県比企郡嵐山町大字菅谷１０８１番地,0493-53-4545,0493-53-4437,グローブ,3550342,埼玉県比企郡ときがわ町玉川１３２２番地２,×,○,×,×,2021/9/1,変更,1:介護サービス包括型,6
508,社会福祉法人いずみ会,1123286427,3,グループホームフォレスト,3550221,埼玉県比企郡嵐山町大字菅谷１０８１番地,0493-53-4545,0493-53-4437,サルビア,3550017,埼玉県東松山市松葉町４丁目１１番地２３号,×,○,×,×,2021/9/1,変更,1:介護サービス包括型,5
591,株式会社ぽっかぽか,1123800557,1,ぽっかぽか,3470111,埼玉県加須市鴻茎２３４６－５,0480-30-6781,0480-30-6781,グループホームぽっかぽか騎西,3470111,埼玉県加須市鴻茎２３４６－５,×,○,○,×,2021/9/1,新規,1:介護サービス包括型,4
672,合同会社夕凪,1124550243,1,グループホームらら,3691201,埼玉県大里郡寄居町用土１６５２番地２１,048-577-7877,048-577-7877,グループホームらら,3691201,埼玉県大里郡寄居町用土１６５２番地２１,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,4
673,合同会社夕凪,1124550243,5,グループホームらら,3691201,埼玉県大里郡寄居町用土１６５２番地２１,048-577-7877,048-577-7877,グループホームハニー,3670211,埼玉県本庄市児玉町吉田林６６－２,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,6
687,ＮＰＯ法人埼北ケア・サポート,1124600428,1,上柴桑の木,3660052,埼玉県深谷市上柴町西七丁目１番地２７,048-571-8898,048-571-8898,上柴桑の木,3660052,埼玉県深谷市上柴町西七丁目１番地２７,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,10
731,株式会社ふくふく,1124601061,2,よつば,3660035,埼玉県深谷市原郷４１２番地３,048-580-6531,048-580-6571,よつば２,3660035,埼玉県深谷市原郷４１２番地３,×,○,○,×,2021/9/1,変更,1:介護サービス包括型,10
104,ソーシャルインクルー株式会社,1120900814,2,ソーシャルインクルーホーム久喜南栗橋,3491117,埼玉県久喜市南栗橋１２丁目１１－８,0480-38-9281,0480-38-9287,ソーシャルインクルーホーム久喜南栗橋Ⅱ,3491117,埼玉県久喜市南栗橋１２丁目１１－８,○,○,○,×,2021/8/1,変更,3:日中サービス支援型,10
135,株式会社定信,1121200552,1,グループホーム三郷,3410035,埼玉県三郷市鷹野４丁目３６６番地,048-954-8779,048-954-8779,グループホームちゃちゃ,3410035,埼玉県三郷市鷹野４丁目３６６番地,×,○,○,×,2021/8/1,新規,1:介護サービス包括型,5
171,社会福祉法人真栄会,1121600777,1,グループホームくるみ,3620011,埼玉県上尾市平塚３２２－１,048-871-8356,048-871-8356,グループホームくるみ,3620011,埼玉県上尾市平塚３２２－２,×,○,×,×,2021/8/1,変更,1:介護サービス包括型,7
211,株式会社チャレジョブ,1121700569,3,yours,3650074,埼玉県鴻巣市神明三丁目３番１１号,048-538-4538,048-538-4538,yours本町Ⅱ,3650038,埼玉県鴻巣市本町８－２－４,×,○,○,×,2021/8/1,新規,1:介護サービス包括型,4
261,社会福祉法人戸田わかくさ会,1121900268,3,グリーングラス,3350022,埼玉県戸田市上戸田一丁目１６番４号,048-452-8400,048-452-8407,グリーングラス第二上戸田,3350022,埼玉県戸田市上戸田1-2-19,×,○,×,×,2021/8/1,変更,1:介護サービス包括型,6
346,合同会社ほしぞら,1122501651,1,グループホームほしぞら,3591146,埼玉県所沢市小手指南三丁目５４番地の３,09015076794,,グループホームほしぞら１号棟,3591146,埼玉県所沢市小手指南三丁目５４番地の３,×,○,○,×,2021/8/1,変更,1:介護サービス包括型,4
347,合同会社ほしぞら,1122501651,2,グループホームほしぞら,3591146,埼玉県所沢市小手指南三丁目５４番地の３,09015076794,,グループホームほしぞら２号棟,3591146,埼玉県所沢市小手指南三丁目３５番地の１１,×,○,○,×,2021/8/1,変更,1:介護サービス包括型,4
353,医療法人くすのき会,1122600024,1,グループホームももんが,3570042,埼玉県飯能市矢颪４０６－８,042-972-7111,042-972-4540,グループホームももんが,3570042,埼玉県飯能市矢颪４０６－８,×,×,○,×,2021/8/1,変更,1:介護サービス包括型,10
400,株式会社和代,1122800632,1,ひこぼしホーム,3580026,埼玉県入間市小谷田一丁目１６番９号,04-2937-6173,04-2937-6409,ひこぼしホーム１,3580026,埼玉県入間市小谷田一丁目１６番９号,×,○,○,×,2021/8/1,新規,1:介護サービス包括型,4
401,株式会社和代,1122800632,2,ひこぼしホーム,3580026,埼玉県入間市小谷田一丁目１６番９号,04-2937-6173,04-2937-6409,ひこぼしホーム２,3580022,埼玉県入間市扇町屋３－４－２２,×,○,○,×,2021/8/1,新規,1:介護サービス包括型,4
